2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Oxford,02260000,1,1,100.0,       5,       4,80.0,     128,     108,84.4
Palmer,02270000,1,1,100.0,       2,       2,100.0,     116,      99,85.3
Pathfinder Regional Vocational Technical,08600000,1,1,100.0,       1,       1,100.0,      75,      65,86.7
Paulo Freire Social Justice Charter School (District),35010000,1,1,100.0,       1,       1,100.0,      26,      19,73.1
Peabody,02290000,1,1,100.0,      11,       8,72.7,     454,     415,91.4
Pelham,02300000,1,1,100.0,       1,       1,100.0,      15,      10,66.7
Pembroke,02310000,1,1,100.0,       5,       4,80.0,     205,     180,87.8
Pentucket,07450000,1,1,100.0,       5,       4,80.0,     211,     192,91.0
Petersham,02340000,1,1,100.0,       1,       0,0.0,      12,      10,83.3
Phoenix Academy Public Charter High School Lawrence (District),35180000,1,1,100.0,       1,       1,100.0,      16,      13,81.3
Phoenix Academy Public Charter High School Springfield (District),35080000,1,1,100.0,       1,       0,0.0,      15,       8,53.3
Phoenix Charter Academy (District),04930000,1,1,100.0,       1,       0,0.0,      15,      11,73.3
Pioneer Charter School of Science (District),04940000,1,1,100.0,       2,       2,100.0,      81,      48,59.3
Pioneer Charter School of Science II (PCSS-II) (District),35060000,1,1,100.0,       1,       1,100.0,      38,      30,78.9
Pioneer Valley,07500000,1,1,100.0,       4,       1,25.0,      70,      52,74.3
Pioneer Valley Chinese Immersion Charter (District),04970000,1,1,100.0,       1,       1,100.0,      74,      50,67.6
Pioneer Valley Performing Arts Charter Public (District),04790000,1,1,100.0,       1,       1,100.0,      49,      35,71.4
Pittsfield,02360000,1,1,100.0,      12,      10,83.3,     494,     403,81.6
Plainville,02380000,1,1,100.0,       2,       2,100.0,      56,      52,92.9
Plymouth,02390000,1,1,100.0,      13,      12,92.3,     665,     589,88.6
Plympton,02400000,1,1,100.0,       1,       1,100.0,      21,      20,95.2
Prospect Hill Academy Charter (District),04870000,1,1,100.0,       4,       4,100.0,     108,      70,64.8
Provincetown,02420000,1,0,0.0,       1,       0,0.0,      19,      18,94.7
Quabbin,07530000,1,1,100.0,       6,       5,83.3,     142,     124,87.3
Quaboag Regional,07780000,1,1,100.0,       3,       2,66.7,     104,      88,84.6
Quincy,02430000,1,1,100.0,      19,      17,89.5,     723,     676,93.5
Ralph C Mahar,07550000,1,1,100.0,       2,       1,50.0,      72,      63,87.5
Randolph,02440000,1,1,100.0,       6,       5,83.3,     254,     212,83.5
Reading,02460000,1,1,100.0,       9,       9,100.0,     336,     296,88.1
Revere,02480000,1,1,100.0,      12,      11,91.7,     560,     493,88.0
Richmond,02490000,1,1,100.0,       1,       0,0.0,      24,      17,70.8
Rising Tide Charter Public (District),04830000,1,1,100.0,       2,       2,100.0,      63,      52,82.5
River Valley Charter (District),04820000,1,0,0.0,       1,       0,0.0,      22,      18,81.8
Rochester,02500000,1,1,100.0,       1,       1,100.0,      39,      35,89.7
Rockland,02510000,1,1,100.0,       5,       5,100.0,     185,     163,88.1
Rockport,02520000,1,1,100.0,       3,       3,100.0,      92,      84,91.3
Rowe,02530000,1,1,100.0,       1,       1,100.0,      10,      10,100.0
Roxbury Preparatory Charter (District),04840000,1,1,100.0,       4,       3,75.0,     126,      82,65.1
Sabis International Charter (District),04410000,1,0,0.0,       4,       0,0.0,      92,      60,65.2
Salem,02580000,1,0,0.0,      11,       9,81.8,     363,     283,78.0
Salem Academy Charter (District),04850000,1,1,100.0,       2,       1,50.0,      51,      37,72.5
Sandwich,02610000,1,1,100.0,       3,       3,100.0,     211,     182,86.3
Saugus,02620000,1,1,100.0,       6,       5,83.3,     208,     177,85.1
Savoy,02630000,1,1,100.0,       1,       1,100.0,       7,       5,71.4
Scituate,02640000,1,1,100.0,       6,       5,83.3,     254,     231,90.9
Seekonk,02650000,1,1,100.0,       4,       3,75.0,     165,     151,91.5
Seven Hills Charter Public (District),04860000,1,1,100.0,       4,       4,100.0,      34,      28,82.4
Sharon,02660000,1,1,100.0,       7,       6,85.7,     267,     238,89.1
Shawsheen Valley Regional Vocational Technical,08710000,1,0,0.0,       1,       1,100.0,     127,     121,95.3
Sherborn,02690000,1,1,100.0,       1,       1,100.0,      35,      31,88.6
