2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Nahant,01960000,      12.9, 100.0,      65, 100.0,  14.3 to 1
Nantucket,01970000,     116.9,  99.1,     646,  96.9,  11.8 to 1
Narragansett,07200000,      98.8,  99.0,     485,  98.6,  14.4 to 1
Nashoba,07250000,     218.9,  99.8,"   1,183", 100.0,  15.5 to 1
Nashoba Valley Regional Vocational Technical,08520000,      51.7,  94.0,     189, 100.0,  13.2 to 1
Natick,01980000,     342.2,  99.0,"   2,064",  98.4,  14.8 to 1
Nauset,06600000,     130.2, 100.0,     671,  96.1,  11.9 to 1
Needham,01990000,     361.1,  99.2,"   1,522",  98.6,  15.2 to 1
Neighborhood House Charter (District),04440000,      35.0,  60.0,     147, 100.0,  11.4 to 1
New Bedford,02010000,     876.7,  98.6,"   4,731",  91.2,  14.4 to 1
New Leadership Charter (District),04710000,      31.5,  93.7,     210, 100.0,  16.0 to 1
New Salem-Wendell,07280000,      12.2, 100.0,      22, 100.0,  11.2 to 1
Newburyport,02040000,     170.1, 100.0,"   1,105", 100.0,  13.8 to 1
Newton,02070000,     951.7,  99.6,"   3,857",  99.9,  13.0 to 1
Norfolk,02080000,      65.4, 100.0,     303, 100.0,  14.2 to 1
Norfolk County Agricultural,09150000,      43.2,  97.7,     102, 100.0,  11.2 to 1
North Adams,02090000,     144.6,  96.4,     556,  99.3,  10.5 to 1
North Andover,02110000,     290.3,  99.1,"   1,824",  99.5,  16.4 to 1
North Attleborough,02120000,     278.8, 100.0,"   1,506",  99.7,  16.8 to 1
North Brookfield,02150000,      45.5, 100.0,     210, 100.0,  12.8 to 1
North Central Charter Essential (District),04740000,      35.1,  93.7,     255,  98.0,   9.8 to 1
North Middlesex,07350000,     249.9,  99.0,"   1,071",  99.4,  14.4 to 1
North Reading,02170000,     196.9, 100.0,     989,  99.4,  13.2 to 1
North Shore Regional Vocational Technical,08540000,      52.4,  97.5,     103, 100.0,   9.1 to 1
Northampton,02100000,     207.6,  99.0,"   1,017",  99.7,  13.1 to 1
Northampton-Smith Vocational Agricultural,04060000,      48.0,  89.6,     117, 100.0,   8.7 to 1
Northboro-Southboro,07300000,     101.0, 100.0,     524, 100.0,  14.7 to 1
Northborough,02130000,     140.0, 100.0,     736, 100.0,  13.5 to 1
Northbridge,02140000,     174.9, 100.0,     882, 100.0,  14.8 to 1
Northeast Metropolitan Regional Vocational Technical,08530000,     111.7,  97.6,     230,  98.7,  11.4 to 1
Northern Berkshire Regional Vocational Technical,08510000,      41.2,  95.7,     117,  94.9,  11.8 to 1
Norton,02180000,     184.4, 100.0,     964, 100.0,  14.3 to 1
Norwell,02190000,     154.0,  99.4,     806,  98.8,  15.1 to 1
Norwood,02200000,     273.9,  99.6,"   1,219", 100.0,  13.0 to 1
Oak Bluffs,02210000,      45.0,  98.9,     186,  94.6,   8.5 to 1
Old Colony Regional Vocational Technical,08550000,      51.8,  94.2,     113,  96.5,  11.3 to 1
Old Rochester,07400000,      82.9, 100.0,     444, 100.0,  14.3 to 1
Orange,02230000,      37.4, 100.0,     388, 100.0,  18.1 to 1
Orleans,02240000,      25.9, 100.0,      96, 100.0,   8.4 to 1
Oxford,02260000,     134.5,  96.3,     667,  98.4,  14.5 to 1
Palmer,02270000,     121.3,  99.2,     819, 100.0,  12.7 to 1
